Database_name  	Query_name     	ShapeTanimoto  ChemTanimoto    ShapeSim   ChemSim   ShapeSimPval  ChemSimPval   TverskyShape  TverskyChem  
ZINC03815485   	STI            	   0.277          0.276         0.454      0.427    2.963215e-01  4.550927e-01    0.582         0.581        
ZINC03815488   	STI            	   0.254          0.253         0.452      0.425    2.709545e-01  4.550969e-01    0.593         0.592        
ZINC03815489   	STI            	   0.306          0.301         0.489      0.460    8.179359e-02  1.602154e-01    0.653         0.647        
ZINC03815490   	STI            	   0.316          0.310         0.494      0.465    6.950515e-02  1.393153e-01    0.661         0.654        
ZINC03815491   	STI            	   0.295          0.291         0.484      0.456    9.046939e-02  1.797181e-01    0.646         0.641        
ZINC03815492   	STI            	   0.294          0.289         0.483      0.454    9.434360e-02  1.889831e-01    0.644         0.638        
ZINC03815493   	STI            	   0.287          0.286         0.475      0.449    1.301171e-01  2.300298e-01    0.632         0.630        
ZINC03815495   	STI            	   0.306          0.296         0.489      0.456    8.125099e-02  1.819778e-01    0.653         0.642        
ZINC03815496   	STI            	   0.296          0.291         0.484      0.456    9.199569e-02  1.800917e-01    0.646         0.641        
ZINC03815497   	STI            	   0.303          0.299         0.488      0.460    8.116689e-02  1.575308e-01    0.652         0.647        
ZINC03815499   	STI            	   0.332          0.325         0.504      0.474    5.469530e-02  1.101939e-01    0.672         0.664        
ZINC03815501   	STI            	   0.304          0.299         0.486      0.457    9.417623e-02  1.797762e-01    0.647         0.643        
ZINC03815504   	STI            	   0.268          0.268         0.448      0.421    3.366361e-01  5.128605e-01    0.577         0.576        
ZINC03815505   	STI            	   0.318          0.317         0.494      0.468    7.452723e-02  1.306057e-01    0.658         0.657        
ZINC03815508   	STI            	   0.286          0.278         0.475      0.444    1.281674e-01  2.657117e-01    0.632         0.623        
ZINC03815509   	STI            	   0.324          0.319         0.500      0.472    5.783412e-02  1.125601e-01    0.668         0.663        
ZINC03815514   	STI            	   0.285          0.281         0.480      0.452    9.782961e-02  1.936011e-01    0.639         0.635        
ZINC03815517   	STI            	   0.309          0.304         0.492      0.465    6.848502e-02  1.339858e-01    0.659         0.654        
ZINC03815520   	STI            	   0.339          0.335         0.505      0.478    5.845426e-02  1.064413e-01    0.669         0.665        
ZINC03815526   	STI            	   0.262          0.254         0.447      0.413    3.378465e-01  5.836820e-01    0.581         0.571        
ZINC03815527   	STI            	   0.262          0.261         0.449      0.421    3.110443e-01  4.959268e-01    0.586         0.585        
ZINC03815529   	STI            	   0.299          0.295         0.488      0.460    7.496800e-02  1.485469e-01    0.653         0.648        
ZINC03815532   	STI            	   0.298          0.294         0.474      0.445    1.547249e-01  2.751055e-01    0.625         0.620        
ZINC03815535   	STI            	   0.264          0.263         0.456      0.429    2.417431e-01  4.092667e-01    0.601         0.599        
ZINC03815536   	STI            	   0.303          0.298         0.490      0.462    7.192017e-02  1.439257e-01    0.655         0.650        
ZINC03815537   	STI            	   0.277          0.277         0.458      0.431    2.551541e-01  4.045804e-01    0.597         0.597        
ZINC03815538   	STI            	   0.300          0.294         0.473      0.443    1.695478e-01  3.040317e-01    0.619         0.612        
ZINC03815545   	STI            	   0.319          0.314         0.496      0.467    7.008658e-02  1.366489e-01    0.661         0.655        
ZINC03815546   	STI            	   0.296          0.288         0.476      0.444    1.387538e-01  2.758771e-01    0.630         0.621        
ZINC03815551   	STI            	   0.314          0.311         0.496      0.470    5.956633e-02  1.123133e-01    0.665         0.662        
ZINC03815556   	STI            	   0.319          0.315         0.492      0.463    8.665269e-02  1.598967e-01    0.652         0.647        
ZINC03815556   	STI            	   0.320          0.315         0.492      0.464    8.569585e-02  1.581984e-01    0.652         0.648        
ZINC03815557   	STI            	   0.323          0.321         0.489      0.463    1.164445e-01  1.914018e-01    0.633         0.631        
ZINC03815559   	STI            	   0.291          0.289         0.471      0.443    1.658328e-01  2.872681e-01    0.621         0.618        
ZINC03815788   	STI            	   0.348          0.346         0.507      0.482    7.204773e-02  1.185069e-01    0.652         0.650        
ZINC03815788   	STI            	   0.345          0.345         0.506      0.481    7.580165e-02  1.211871e-01    0.650         0.649        
ZINC03815789   	STI            	   0.275          0.274         0.453      0.425    3.069905e-01  4.737649e-01    0.580         0.578        
ZINC03815789   	STI            	   0.284          0.281         0.460      0.431    2.575077e-01  4.171587e-01    0.590         0.587        
ZINC03815790   	STI            	   0.297          0.293         0.469      0.440    1.993137e-01  3.342550e-01    0.606         0.602        
ZINC03815790   	STI            	   0.287          0.285         0.462      0.434    2.412179e-01  3.869608e-01    0.595         0.593        
ZINC03815791   	STI            	   0.312          0.310         0.481      0.454    1.411768e-01  2.331830e-01    0.626         0.624        
ZINC03815791   	STI            	   0.319          0.316         0.487      0.459    1.209210e-01  2.053316e-01    0.633         0.630        
ZINC03815792   	STI            	   0.276          0.272         0.454      0.424    3.076578e-01  4.849505e-01    0.567         0.563        
ZINC03815792   	STI            	   0.277          0.272         0.454      0.424    3.017455e-01  4.824404e-01    0.568         0.563        
ZINC03815793   	STI            	   0.285          0.282         0.460      0.432    2.612030e-01  4.133957e-01    0.582         0.579        
ZINC03815793   	STI            	   0.277          0.275         0.454      0.426    3.020685e-01  4.666108e-01    0.573         0.570        
ZINC03815794   	STI            	   0.277          0.276         0.455      0.427    2.998221e-01  4.529305e-01    0.568         0.566        
ZINC03815794   	STI            	   0.277          0.276         0.455      0.427    2.998306e-01  4.529372e-01    0.568         0.566        
ZINC03815796   	STI            	   0.302          0.297         0.473      0.443    1.891444e-01  3.179925e-01    0.600         0.595        
ZINC03815796   	STI            	   0.302          0.296         0.473      0.443    1.888748e-01  3.215380e-01    0.600         0.595        
ZINC03815797   	STI            	   0.280          0.279         0.459      0.432    2.734418e-01  4.133732e-01    0.565         0.563        
ZINC03815797   	STI            	   0.277          0.276         0.456      0.430    2.896191e-01  4.339969e-01    0.561         0.560        
ZINC03815798   	STI            	   0.305          0.304         0.476      0.450    1.754177e-01  2.737634e-01    0.598         0.596        
ZINC03815798   	STI            	   0.281          0.280         0.458      0.431    2.797312e-01  4.227674e-01    0.571         0.570        
ZINC03815799   	STI            	   0.294          0.288         0.467      0.436    2.190076e-01  3.735740e-01    0.591         0.584        
ZINC03815799   	STI            	   0.293          0.286         0.466      0.435    2.237185e-01  3.848249e-01    0.590         0.582        
ZINC03815800   	STI            	   0.297          0.290         0.470      0.439    2.075059e-01  3.551539e-01    0.591         0.584        
ZINC03815800   	STI            	   0.298          0.291         0.471      0.439    2.028629e-01  3.542286e-01    0.592         0.584        
ZINC03827478   	STI            	   0.368          0.360         0.538      0.510    1.174113e-02  2.510207e-02    0.722         0.715        
ZINC03832218   	STI            	   0.375          0.375         0.529      0.506    4.210425e-02  6.494877e-02    0.665         0.665        
ZINC03832219   	STI            	   0.359          0.357         0.522      0.497    3.085168e-02  5.412038e-02    0.694         0.692        
ZINC03832221   	STI            	   0.425          0.416         0.572      0.544    5.907733e-03  1.198754e-02    0.751         0.744        
ZINC03832225   	STI            	   0.397          0.389         0.555      0.527    8.406172e-03  1.725977e-02    0.738         0.731        
ZINC03832227   	STI            	   0.394          0.385         0.552      0.524    9.240035e-03  1.919255e-02    0.735         0.728        
ZINC03832228   	STI            	   0.321          0.320         0.488      0.463    1.128127e-01  1.830796e-01    0.638         0.638        
ZINC03832229   	STI            	   0.304          0.299         0.483      0.453    1.084751e-01  2.077362e-01    0.642         0.636        
ZINC03832230   	STI            	   0.354          0.354         0.513      0.489    6.598529e-02  1.020874e-01    0.645         0.645        
ZINC03832231   	STI            	   0.280          0.275         0.459      0.429    2.447724e-01  4.238890e-01    0.599         0.593        
ZINC03832232   	STI            	   0.326          0.326         0.491      0.466    1.145791e-01  1.806683e-01    0.629         0.628        
ZINC03832233   	STI            	   0.398          0.393         0.551      0.525    1.269550e-02  2.341424e-02    0.726         0.722        
ZINC03832234   	STI            	   0.339          0.339         0.503      0.478    7.209291e-02  1.168679e-01    0.659         0.659        
ZINC03832235   	STI            	   0.335          0.335         0.498      0.473    9.821364e-02  1.524300e-01    0.632         0.632        
ZINC03832236   	STI            	   0.318          0.318         0.485      0.460    1.324250e-01  2.093536e-01    0.625         0.625        
ZINC03832237   	STI            	   0.291          0.289         0.466      0.439    2.057789e-01  3.347000e-01    0.608         0.607        
ZINC03832238   	STI            	   0.336          0.331         0.501      0.473    7.255011e-02  1.328222e-01    0.660         0.655        
ZINC03832239   	STI            	   0.448          0.443         0.589      0.565    3.544461e-03  6.342659e-03    0.767         0.763        
ZINC03832240   	STI            	   0.366          0.366         0.524      0.502    4.958677e-02  7.491676e-02    0.648         0.648        
ZINC03832241   	STI            	   0.324          0.323         0.491      0.465    1.045962e-01  1.700338e-01    0.642         0.641        
ZINC03832242   	STI            	   0.294          0.292         0.470      0.443    1.841501e-01  3.024134e-01    0.615         0.614        
ZINC03832243   	STI            	   0.340          0.330         0.504      0.472    7.008922e-02  1.408444e-01    0.661         0.651        
ZINC03832244   	STI            	   0.423          0.413         0.571      0.543    5.817799e-03  1.190912e-02    0.751         0.744        
ZINC03832245   	STI            	   0.329          0.328         0.493      0.468    1.097495e-01  1.741281e-01    0.631         0.630        
ZINC03832246   	STI            	   0.381          0.380         0.533      0.510    3.781716e-02  5.802563e-02    0.668         0.668        
ZINC03832247   	STI            	   0.334          0.333         0.497      0.472    9.768800e-02  1.553735e-01    0.636         0.635        
ZINC03832248   	STI            	   0.331          0.330         0.495      0.470    9.543303e-02  1.533803e-01    0.644         0.644        
ZINC03832249   	STI            	   0.269          0.266         0.448      0.419    3.435346e-01  5.352023e-01    0.569         0.566        
ZINC03832250   	STI            	   0.336          0.325         0.500      0.467    7.832112e-02  1.594228e-01    0.655         0.645        
ZINC03832251   	STI            	   0.283          0.281         0.459      0.431    2.689532e-01  4.212402e-01    0.583         0.580        
ZINC03832252   	STI            	   0.306          0.300         0.476      0.446    1.747917e-01  3.016486e-01    0.604         0.597        
ZINC03832253   	STI            	   0.350          0.350         0.510      0.486    7.158029e-02  1.114562e-01    0.644         0.644        
ZINC03832254   	STI            	   0.288          0.287         0.463      0.435    2.380307e-01  3.769945e-01    0.595         0.593        
ZINC03832255   	STI            	   0.358          0.357         0.515      0.492    6.086099e-02  9.465143e-02    0.652         0.651        
ZINC03832256   	STI            	   0.341          0.340         0.504      0.478    7.249629e-02  1.191708e-01    0.658         0.657        
ZINC03832257   	STI            	   0.314          0.309         0.484      0.455    1.232269e-01  2.225523e-01    0.635         0.629        
ZINC03832258   	STI            	   0.305          0.301         0.475      0.446    1.732006e-01  2.953025e-01    0.611         0.606        
ZINC03832259   	STI            	   0.295          0.272         0.469      0.424    1.941360e-01  4.731195e-01    0.610         0.583        
ZINC03832260   	STI            	   0.481          0.469         0.611      0.582    2.217810e-03  4.521408e-03    0.781         0.772        
ZINC03832261   	STI            	   0.368          0.368         0.523      0.500    4.907927e-02  7.615743e-02    0.660         0.660        
ZINC03832262   	STI            	   0.270          0.265         0.449      0.418    3.422759e-01  5.393313e-01    0.564         0.558        
ZINC03832263   	STI            	   0.300          0.293         0.472      0.441    1.776333e-01  3.225203e-01    0.615         0.608        
ZINC03832264   	STI            	   0.448          0.437         0.587      0.558    4.349901e-03  8.886365e-03    0.761         0.753        
ZINC03832265   	STI            	   0.582          0.570         0.688      0.664    1.435671e-04  2.722055e-04    0.848         0.841        
ZINC03832266   	STI            	   0.303          0.302         0.475      0.448    1.640406e-01  2.678826e-01    0.620         0.618        
ZINC03832267   	STI            	   0.303          0.296         0.474      0.442    1.816067e-01  3.229769e-01    0.607         0.600        
ZINC03832268   	STI            	   0.327          0.317         0.493      0.460    9.733013e-02  1.957400e-01    0.645         0.634        
ZINC03834019   	STI            	   0.333          0.331         0.497      0.470    9.397049e-02  1.553204e-01    0.644         0.642        
ZINC03834020   	STI            	   0.263          0.261         0.450      0.422    2.997726e-01  4.841407e-01    0.588         0.587        
ZINC03834021   	STI            	   0.376          0.376         0.531      0.508    4.082731e-02  6.228333e-02    0.660         0.660        
ZINC03834022   	STI            	   0.296          0.295         0.468      0.442    2.101267e-01  3.287614e-01    0.599         0.598        
ZINC03834023   	STI            	   0.359          0.359         0.518      0.495    5.878194e-02  8.948160e-02    0.645         0.645        
ZINC03834024   	STI            	   0.349          0.349         0.508      0.484    7.014277e-02  1.104971e-01    0.654         0.654        
ZINC03834025   	STI            	   0.354          0.354         0.512      0.488    6.223999e-02  9.885420e-02    0.659         0.659        
ZINC03834026   	STI            	   0.335          0.335         0.498      0.473    9.628077e-02  1.508389e-01    0.635         0.635        
ZINC03834028   	STI            	   0.355          0.355         0.513      0.489    6.142136e-02  9.749249e-02    0.660         0.659        
ZINC03834029   	STI            	   0.358          0.356         0.515      0.490    5.470036e-02  8.957378e-02    0.668         0.666        
ZINC03834030   	STI            	   0.352          0.348         0.511      0.484    6.267154e-02  1.085865e-01    0.661         0.658        
ZINC03834031   	STI            	   0.358          0.357         0.516      0.491    5.466298e-02  8.948542e-02    0.667         0.666        
ZINC03834032   	STI            	   0.273          0.272         0.451      0.424    3.135996e-01  4.792603e-01    0.581         0.580        
ZINC03834033   	STI            	   0.280          0.279         0.458      0.431    2.608939e-01  4.113656e-01    0.594         0.593        
ZINC03834034   	STI            	   0.343          0.343         0.504      0.479    8.141406e-02  1.290351e-01    0.643         0.642        
ZINC03834035   	STI            	   0.286          0.283         0.469      0.442    1.670567e-01  2.932451e-01    0.621         0.618        
ZINC03834036   	STI            	   0.362          0.361         0.518      0.494    5.429856e-02  8.567674e-02    0.663         0.663        
ZINC03834037   	STI            	   0.335          0.334         0.498      0.473    8.967973e-02  1.442376e-01    0.646         0.646        
ZINC03834038   	STI            	   0.285          0.284         0.460      0.433    2.557144e-01  3.972833e-01    0.591         0.590        
ZINC03834039   	STI            	   0.299          0.298         0.472      0.445    1.829167e-01  2.944853e-01    0.613         0.612        
ZINC03834040   	STI            	   0.369          0.369         0.523      0.500    4.469457e-02  7.040220e-02    0.674         0.674        
ZINC03834041   	STI            	   0.277          0.276         0.459      0.432    2.342902e-01  3.807177e-01    0.603         0.602        
ZINC03834042   	STI            	   0.311          0.311         0.480      0.455    1.451744e-01  2.320960e-01    0.624         0.624        
ZINC03834043   	STI            	   0.348          0.348         0.508      0.484    6.476302e-02  1.038136e-01    0.662         0.662        
ZINC03834044   	STI            	   0.323          0.322         0.489      0.463    1.240800e-01  1.965074e-01    0.622         0.621        
ZINC03834045   	STI            	   0.405          0.404         0.551      0.528    1.934550e-02  3.102016e-02    0.708         0.707        
ZINC03834046   	STI            	   0.275          0.275         0.460      0.433    2.239785e-01  3.678319e-01    0.605         0.605        
ZINC03834047   	STI            	   0.260          0.253         0.443      0.410    3.805223e-01  6.242154e-01    0.571         0.562        
ZINC03834050   	STI            	   0.348          0.347         0.508      0.483    6.904236e-02  1.128560e-01    0.656         0.655        
ZINC04617831   	STI            	   0.270          0.269         0.460      0.434    2.147918e-01  3.594812e-01    0.607         0.607        
ZINC04628819   	STI            	   0.276          0.273         0.453      0.424    3.051039e-01  4.815864e-01    0.577         0.574        
ZINC04628820   	STI            	   0.270          0.268         0.449      0.420    3.415248e-01  5.201387e-01    0.567         0.565        
ZINC04632533   	STI            	   0.301          0.300         0.481      0.455    1.154655e-01  1.972029e-01    0.639         0.638        
ZINC04632535   	STI            	   0.304          0.303         0.485      0.460    9.446361e-02  1.645145e-01    0.647         0.647        
